S,R,LB,radius,weight,Group,ReasonId,Timestamp,ProjectId
L11018687,L11000003,L11018667,2,200,1,1,2019-07-17 09:40:30.150,0
L11018687,L11030824,L11018667,2,100,1,4,2019-07-17 09:53:29.150,0
L11000236,L11002397,L11018667,2,100,1,11,2019-07-12 21:13:32.643,0
L11000236,L11000957,L11018667,2,100,1,2,2019-07-12 21:10:50.660,0
L11000236,L11004374,L11018667,2,100,1,11,2019-07-12 21:24:38.647,0
L11000236,L11015548,L11018667,2,100,1,2,2019-07-12 21:08:09.800,0
L11000236,L11001844,L11018667,2,100,1,1,2019-07-12 21:17:03.710,0
L11000236,L11000996,L11018667,2,100,1,3,2019-07-12 21:20:29.670,0
L11000236,L11006195,L11018667,2,100,1,3,2019-07-12 21:29:33.613,0
L11000236,L11006736,L11018667,2,100,1,2,2019-07-12 21:50:39.690,0
L11002602,L11028598,L11018667,2,200,1,12,2019-07-19 06:35:38.140,0
L11002602,L11004294,L11018667,2,200,1,12,2019-07-18 17:37:23.000,0
L11002602,L11004374,L11018667,2,200,1,7,2019-07-18 17:12:13.933,0
L11002602,L11012699,L11018667,2,300,1,7,2019-07-18 17:20:57.013,0
L11002602,L11003845,L11018667,2,200,1,12,2019-07-18 17:25:22.913,0
L70000291,L11023277,L11018667,2,100,1,8,2019-07-12 21:05:41.637,0
L70000291,L70018928,L11018667,2,200,1,1,2019-07-09 16:11:39.707,0
L11023389,L11006151,L11018667,2,100,1,1,2019-07-26 07:40:32.677,0
L11023389,L11005837,L11018667,2,100,1,1,2019-07-19 10:21:42.157,0
L11023389,L11006246,L11018667,2,100,1,8,2019-07-19 12:52:31.063,0
L11023389,L11006044,L11018667,2,100,1,8,2019-07-19 12:50:30.073,0
L11023389,L11006141,L11018667,2,100,1,1,2019-07-26 07:39:54.687,0
L11023389,L11005621,L11018667,2,100,1,1,2019-07-18 12:03:32.190,0
L11023389,L11010831,L11018667,2,100,1,1,2019-07-19 12:48:28.923,0
L11020432,L11000072,L11018667,2,20,1,12,2019-07-19 19:03:50.800,0
L11020432,L11003860,L11018667,2,20,1,12,2019-07-19 19:07:45.813,0
L11029527,L11028598,L11018667,2,100,1,1,2019-07-11 14:44:23.150,0
L11029527,L11006195,L11018667,2,200,1,8,2019-07-11 14:50:21.223,0
L11029527,L11002476,L11018667,2,200,1,1,2019-07-11 14:51:12.233,0
L11029527,L11002354,L11018667,2,100,1,1,2019-07-11 14:55:19.180,0
L11029527,L11003845,L11018667,2,100,1,1,2019-07-11 14:56:19.137,0
L11035482,L11028598,L11018667,2,400,1,5,2019-07-24 21:33:39.910,0
L11035482,L11004294,L11018667,2,150,1,1,2019-07-15 16:44:16.797,0
L11035482,L11032916,L11018667,2,100,1,1,2019-07-24 12:03:06.743,0
L11035482,L11004374,L11018667,2,150,1,1,2019-07-15 18:56:12.717,0
L11035482,L11012699,L11018667,2,250,1,1,2019-07-15 16:35:43.807,0
L11035482,L11003845,L11018667,2,150,1,1,2019-07-15 18:52:17.700,0
L11035482,L11000044,L11018667,2,100,1,1,2019-07-15 18:46:24.703,0
L11007655,L11004374,L11018667,2,20,1,1,2019-07-13 08:21:06.200,0
L11007655,L11012699,L11018667,2,100,1,1,2019-07-13 08:23:25.273,0
L11007655,L11015412,L11018667,2,100,1,6,2019-07-30 13:36:00.347,0
L11007655,L11035206,L11018667,2,50,1,6,2019-07-13 08:24:48.277,0
L11007655,L41004275,L11018667,2,100,1,1,2019-07-13 08:26:14.280,0
L11007655,L11007395,L11018667,2,100,1,1,2019-07-13 08:29:22.187,0
L11007655,L50386180,L11018667,2,100,1,2,2019-07-30 13:31:06.350,0
L11007655,L70008999,L11018667,2,100,1,2,2019-07-30 13:32:33.343,0
L11007655,L11013353,L11018667,2,100,1,3,2019-07-30 13:33:38.900,0
L11020161,L11029587,L11018667,2,100,1,3,2019-07-17 19:58:03.753,0
L11020161,L11006045,L11018667,2,100,1,1,2019-07-19 18:19:24.870,0
L11004785,L11002250,L11018667,2,10,1,4,2019-07-24 19:33:03.460,0
L11004785,L11002397,L11018667,2,10,1,1,2019-07-24 19:12:43.050,0
L11004785,L11018165,L11018667,2,20,1,1,2019-07-24 15:08:10.173,0
L11004785,L11006187,L11018667,2,10,1,1,2019-07-24 19:18:39.023,0
L11004785,L11000048,L11018667,2,10,1,1,2019-07-24 19:35:24.470,0
L11004785,L11000011,L11018667,2,30,1,8,2019-07-24 19:28:59.457,0
L11004785,L11025375,L11018667,2,20,1,3,2019-07-24 19:09:18.473,0
L11004785,L11000861,L11018667,2,100,1,8,2019-07-23 16:51:22.120,0
L11004785,L11000103,L11018667,2,20,1,1,2019-07-24 19:15:11.047,0
L11004785,L11031351,L11018667,2,10,1,4,2019-07-24 19:24:12.993,0
L11019751,L11000072,L11018667,2,50,1,5,2019-07-11 14:45:53.153,0
L11019751,L11013764,L11018667,2,50,1,5,2019-07-11 14:24:56.150,0
L11019751,L11028650,L11018667,2,20,1,5,2019-07-11 14:34:45.250,0
L11019751,L11032101,L11018667,2,100,1,5,2019-07-11 14:52:16.220,0
L11028695,L11002397,L11018667,2,100,1,12,2019-07-11 22:20:42.850,0
L11028695,L11012993,L11018667,2,100,1,1,2019-07-11 21:55:19.887,0
L11028695,L11001855,L11018667,2,250,1,2,2019-07-23 13:47:40.377,0
L11028695,L11015412,L11018667,2,100,1,1,2019-07-11 22:04:39.870,0
L11028695,L11020097,L11018667,2,100,1,9,2019-07-21 17:21:21.657,0
L11028695,L11030405,L11018667,2,200,1,2,2019-07-21 17:23:41.690,0
L11028695,L70000698,L11018667,2,100,1,1,2019-07-11 21:52:40.873,0
L11028695,L11032885,L11018667,2,100,1,1,2019-07-11 21:53:44.877,0
L11028695,L11003851,L11018667,2,100,1,7,2019-07-11 22:03:01.887,0
L11028695,L11033050,L11018667,2,500,1,2,2019-07-11 22:24:45.860,0
L11028695,L11027652,L11018667,2,200,1,10,2019-07-21 17:16:04.673,0
L11028695,L11033434,L11018667,2,200,1,9,2019-07-21 17:18:01.140,0
L11028695,L11027894,L11018667,2,100,1,2,2019-07-26 08:40:25.657,0
L11031747,L11020097,L11018667,2,200,1,10,2019-07-12 08:54:16.567,0
L11031747,L11034075,L11018667,2,300,1,10,2019-07-12 08:39:06.460,0
L11031747,L70023008,L11018667,2,300,1,6,2019-07-12 08:42:02.550,0
L11002545,L11002642,L11018667,2,100,1,3,2019-07-16 16:12:31.943,0
L11026913,L11012993,L11018667,2,500,1,1,2019-07-16 06:47:04.243,0
L11026913,L11001855,L11018667,2,500,1,2,2019-07-16 06:41:10.250,0
L11026913,L11015412,L11018667,2,100,1,1,2019-07-16 06:43:50.263,0
L11032590,L11012993,L11018667,2,200,1,2,2019-07-12 22:23:10.673,0
L11032590,L11001855,L11018667,2,300,1,9,2019-07-12 22:21:15.663,0
L11032590,L11027652,L11018667,2,300,1,3,2019-07-12 15:42:29.853,0
L11032590,L11033434,L11018667,2,500,1,9,2019-07-12 15:41:00.850,0
L11032590,L11031209,L11018667,2,300,1,1,2019-07-12 22:16:39.610,0
L11032590,L41000045,L11018667,2,300,1,1,2019-07-12 22:18:20.600,0
L11018321,L11035206,L11018667,2,10,1,1,2019-07-11 14:13:18.233,0
L11000707,L11029110,L11018667,2,1000,1,12,2019-07-11 14:18:14.203,0
L11000707,L11004897,L11018667,2,500,1,12,2019-07-11 14:16:13.227,0
L11001512,L11004374,L11018667,2,300,1,1,2019-07-19 12:03:55.923,0
L11004106,L11004374,L11018667,2,200,1,9,2019-07-12 11:00:35.057,0
L11004106,L11029110,L11018667,2,200,1,7,2019-07-13 19:23:53.770,0
L11015142,L11004374,L11018667,2,100,1,7,2019-07-11 14:49:28.257,0
L11015142,L11029110,L11018667,2,100,1,3,2019-07-11 13:47:38.203,0
L11015142,L11015411,L11018667,2,100,1,7,2019-07-14 22:21:22.800,0
L11004412,L11006007,L11018667,2,200,1,8,2019-07-27 19:25:01.437,0
L11004412,L11007863,L11018667,2,100,1,3,2019-07-27 19:26:23.430,0
L11025591,L11028598,L11018667,2,100,1,12,2019-07-15 16:27:17.723,0
L11025591,L11004294,L11018667,2,100,1,12,2019-07-15 16:45:08.810,0
L11025591,L11012699,L11018667,2,100,1,12,2019-07-15 16:32:10.727,0
L11007881,L11028598,L11018667,2,200,1,1,2019-07-15 14:49:43.877,0
L11007881,L11004294,L11018667,2,100,1,1,2019-07-11 14:19:55.177,0
L11007881,L11012699,L11018667,2,500,1,5,2019-07-15 14:53:14.870,0
L11007881,L11002325,L11018667,2,200,1,9,2019-07-25 07:43:38.000,0
L11021212,L11000072,L11018667,2,100,1,5,2019-07-11 14:58:16.207,0
L11021212,L11020097,L11018667,2,100,1,6,2019-07-11 15:07:40.213,0
L11021212,L11030405,L11018667,2,200,1,1,2019-07-22 15:07:23.273,0
L11002361,L11006149,L11018667,2,600,1,7,2019-07-11 14:51:17.223,0
L11002361,L11000048,L11018667,2,500,1,7,2019-07-24 14:42:33.640,0
L11004293,L11012699,L11018667,2,100,1,7,2019-07-16 10:45:46.030,0
L11004134,L11006325,L11018667,2,200,1,1,2019-07-18 09:36:36.280,0
L11019713,L11003691,L11018667,2,20,1,1,2019-07-18 08:45:35.257,0
L11019713,L11002830,L11018667,2,20,1,1,2019-07-18 08:57:37.300,0
L11019713,L11019846,L11018667,2,100,1,7,2019-07-18 09:13:50.307,0
L11023447,L11002830,L11018667,2,20,1,3,2019-07-18 09:27:08.210,0
L11019122,L11015877,L11018667,2,50,1,1,2019-07-19 22:40:00.990,0
L11004912,L11004859,L11018667,2,600,1,2,2019-07-18 09:24:50.280,0
L11004912,L11010831,L11018667,2,100,1,1,2019-07-18 09:28:54.217,0
L11004912,L11011858,L11018667,2,100,1,1,2019-07-18 20:24:14.810,0
L11018979,L11002830,L11018667,2,100,1,2,2019-07-28 06:36:30.020,0
L11018979,L11010831,L11018667,2,150,1,1,2019-07-27 12:53:32.260,0
L11005005,L11010831,L11018667,2,50,1,3,2019-07-23 19:40:15.550,0
L11020431,L11015877,L11018667,2,50,1,1,2019-07-18 09:18:03.210,0
L11007813,L11020790,L11018667,2,30,1,4,2019-07-27 15:36:15.130,0
L11007813,L11000011,L11018667,2,50,1,8,2019-07-28 18:47:12.260,0
L11020866,L11010831,L11018667,2,25,1,9,2019-07-18 09:26:56.220,0
L11027437,L11029841,L11018667,2,100,1,11,2019-07-23 11:21:37.023,0
L11027437,L11025064,L11018667,2,100,1,3,2019-07-23 11:24:10.030,0
L11000957,L11000996,L11018667,2,100,1,1,2019-07-24 16:09:08.593,0
L11000957,L11000861,L11018667,2,100,1,2,2019-07-24 16:04:34.600,0
L11000957,L11000243,L11018667,3,500,1,3,2019-07-24 16:01:40.137,0
L11014955,L11012753,L11018667,2,100,1,1,2019-07-12 07:22:10.600,0
L11010067,L11025302,L11018667,3,100,1,3,2019-07-23 11:40:30.473,0
L11010067,L11010809,L11018667,3,100,1,7,2019-07-23 11:34:34.007,0
L11010067,L11004402,L11018667,3,100,1,7,2019-07-23 11:37:30.010,0
L11010067,L11027074,L11018667,3,100,1,9,2019-07-23 11:44:27.443,0
L11028598,L11004294,L11018667,2,200,1,1,2019-07-25 16:52:46.787,0
L11028598,L11032916,L11018667,2,400,1,1,2019-07-24 12:02:34.780,0
L11028598,L11012699,L11018667,2,200,1,1,2019-07-24 13:59:40.680,0
L11004294,L11028598,L11018667,2,150,1,1,2019-07-11 14:23:42.277,0
L11004294,L11012699,L11018667,2,100,1,1,2019-07-12 09:19:11.437,0
L11012753,L11014955,L11018667,2,100,1,1,2019-07-11 15:11:31.153,0
L11012753,L11003481,L11018667,2,100,1,1,2019-07-11 15:14:45.123,0
L11012753,L41004275,L11018667,2,500,1,1,2019-07-11 15:17:05.250,0
L11012699,L11028598,L11018667,2,200,1,8,2019-07-15 17:02:38.697,0
L11012699,L11004294,L11018667,2,200,1,1,2019-07-15 16:30:42.713,0
L11012699,L11032916,L11018667,2,200,1,1,2019-07-23 17:46:16.117,0
L11013875,L11015290,L11018667,2,500,1,11,2019-07-11 14:38:43.167,0
L11004374,L11006149,L11018667,2,200,1,7,2019-07-11 14:58:38.217,0
L11000072,L11004897,L11018667,2,300,1,1,2019-07-12 16:32:08.807,0
L11003481,L41004275,L11018667,2,100,1,6,2019-07-11 15:28:34.200,0
L11013764,L11023277,L11018667,2,100,1,12,2019-07-23 11:32:02.473,0
L11013764,L11000048,L11018667,2,100,1,12,2019-07-23 11:35:33.020,0
L11013764,L41000008,L11018667,3,100,1,12,2019-07-23 11:41:20.467,0
L11012993,L11027652,L11018667,2,50,1,10,2019-07-22 16:11:07.780,0
L11012993,L11022016,L11018667,3,100,1,7,2019-07-12 08:50:55.503,0
L11021927,L11019308,L11018667,3,25,1,2,2019-07-25 10:33:04.040,0
L11003110,L11003691,L11018667,2,900,1,2,2019-07-28 22:29:27.657,0
L11003110,L11003834,L11018667,3,2000,1,10,2019-07-28 22:22:27.113,0
L11003110,L11003140,L11018667,3,1000,1,2,2019-07-28 22:17:48.120,0
L11003110,L11003339,L11018667,3,1000,1,2,2019-07-28 22:26:14.657,0
